Date,Category,Pts,Content
,,,
,,,
,,,
24/2/22,work,3,
23/2/22,work,8,
,,,
22/2/22,gym,0.5,
21/2/22,gym,1,
21/2/22,work,6,
,,,
20/2/22,work,2,Interviews
20/2/22,gym,1,
19/2/22,gym,0.5,
,,,
18/2/22,work,6,
,,,
17/2/22,work,5,
,,,
16/2/22,work,5,
16/2/22,digest,1,lanting
16/2/22,dreamdiary,0.5,
,,,
15/2/22,gym,0.5,
15/2/22,work,8,Meetings
,,,
14/2/22,gym,0.5,
14/2/22,work,4,
,,,
13/2/22,chore,2,
13/2/22,work,2,
13/2/22,gym,0.5,
13/2/22,dev,0.5,Diary
,,,
12/2/22,interpersonal,3,GGV Fellows聚会
12/2/22,gym,0.5,
,,,
11/2/22,interpersonal,1,Elle Wang
11/2/22,gym,0.5,
11/2/22,work,4,
,,,
10/2/22,gym,0.5,
10/2/22,work,5,
10/2/22,dreamdiary,0.5,
,,,
9/2/22,eatless,1.5,skiplunch
9/2/22,work,5,
8/2/22,work,5,
8/2/22,digest,0.5,
8/2/22,chore,1,剪头发
8/2/22,dreamdiary,0.5,
8/2/22,eatless,1.5,skiplunch
7/2/22,work,1.5,周会
7/2/22,work,6.5,Various things
7/2/22,eatless,1.5,skiplunch
7/2/22,dev,0.5,
7/2/22,digest,0.5,
6/2/22,read,0.5,
6/2/22,digest,1,
6/2/22,eatless,1,skiplunch
6/2/22,serendipity,1,找到了红车钥匙.. 在按摩椅缝里
6/2/22,dev,3,
6/2/22,work,1.5,
5/2/22,eatless,-1.5,
5/2/22,sinusrinse,0.5,
5/2/22,interpersonal,1.5,
5/2/22,dev,3.5,
5/2/22,work,2,
5/2/22,shower,1.5,
5/2/22,abstinence,1.5,
5/2/22,digest,1,
5/2/22,brushteeth,0.5,
4/7/18,eatless,1,skiplunch
4/7/18,work,5,
3/7/18,shower,1,
3/7/18,brushteeth,1,
3/7/18,interpersonal,1,
3/7/18,academic,2,破壳
3/7/18,work,1,dex
3/7/18,chore,1,
3/7/18,chore,1,备份1+3t
3/7/18,academic,1,破壳教学提纲
3/7/18,sleepearly,1,
3/7/18,dev,1,renew cert
9/6/18,dreamdiary,1,
9/6/18,eatless,1,skiplunch
9/6/18,interpersonal,2,
9/6/18,dev,2,
9/6/18,shower,1,
9/6/18,brushteeth,1,
9/6/18,work,1,
8/6/18,gym,1,
8/6/18,shower,1,
8/6/18,interpersonal,1,
8/6/18,dreamdiary,1,
8/6/18,work,2,
8/6/18,chore,3,
8/6/18,dev,1,
8/6/18,brushteeth,1,
7/6/18,work,2,
7/6/18,gym,1,
6/6/18,dev,4,
5/6/18,work,1,
4/6/18,brushteeth,1,
4/6/18,work,2,
4/6/18,dev,4,
4/6/18,dreamdiary,1,
3/6/18,interpersonal,2,
3/6/18,dev,4,
3/6/18,shower,1,
3/6/18,chore,3,
3/6/18,dev,1,
3/6/18,dreamdiary,1,
2/6/18,shower,1,
2/6/18,brushteeth,1,
2/6/18,dev,3,
1/6/18,work,2,
1/6/18,shower,1,
1/6/18,brushteeth,1,
1/6/18,work,5,
31/5/18,work,8,
31/5/18,gym,1,
30/5/18,eatless,1,skiplunch
30/5/18,sleepearly,1,
